,Accuracy
1,8.16326530612245
2,8.16326530612245
3,4.081632653061225
4,10.204081632653061
5,6.122448979591836
6,2.0408163265306123
7,2.0408163265306123
8,2.0408163265306123
9,6.122448979591836
10,4.081632653061225
11,10.204081632653061
12,6.122448979591836
13,6.122448979591836
14,6.122448979591836
15,6.122448979591836
16,8.16326530612245
17,6.122448979591836
18,4.081632653061225
19,4.081632653061225
20,4.081632653061225
21,6.122448979591836
22,4.081632653061225
23,2.0408163265306123
24,4.081632653061225
25,4.081632653061225
26,4.081632653061225
27,6.122448979591836
28,6.122448979591836
29,8.16326530612245
30,6.122448979591836
31,10.204081632653061
32,8.16326530612245
